OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,BLDGID,MEAN_AVGHT,Shape_Leng,donut,Field1,OID_,Time_UTC,Lat,Lon,Temp_K_,DewPoint_K_,RelHumid,Pressure,RadDir_Wm_2_,RadDiff_Wm_2_,LWRad,SWNorm,SWRad,WindDir_from_,WindSpeed_ms_1_,SnowDepth_cm_,x,coord,coord_X,coord_Y,T_F,BUFF_DIST,ORIG_FID,ORIG_FID_1,Shape_Area_1,Shape_Length,Shape_Area
34,2,33,34,49.000000000000000,15.460000000000001,0.002570072527580,0,276,276,2015-01-01_00:00:00,41.868710000000000,-87.628692999999998,268.069855000000020,254.837539999999990,33.838459000000000,100109.593750000000000,0,0,181.899796000000010,0,0,240.272568000000010,7.669363000000000,0,NA,41.86871 -87.628693;41.868717 -87.627563,-87.628692999999998,41.868710000000000,22.855739000000000,45.000000000000000,276,276,0.000000878412175,0.003788720000102,0.000000209168905
35,1,34,35,50.000000000000000,3.680000000000000,0.000496493861274,0,269,269,2015-01-01_00:00:00,41.868670999999999,-87.636657999999997,268.030548000000010,254.812271000000010,33.908622999999999,100064.687500000000000,0,0,182.005096000000010,0,0,241.862930000000010,8.013590000000001,0,NA,41.868671 -87.636658,-87.636657999999997,41.868670999999999,22.784986400000001,45.000000000000000,269,269,0.000000878410555,0.003788716000031,0.000000012125987
36,2,35,36,51.000000000000000,5.420000000000000,0.003329559667400,0,275,275,2015-01-01_00:00:00,41.868710000000000,-87.629822000000004,268.065674000000000,254.834533999999990,33.844329999999999,100103.218750000000000,0,0,181.916991999999990,0,0,240.499466000000010,7.714350000000000,0,NA,41.86871 -87.629822;41.86871 -87.628693,-87.629822000000004,41.868710000000000,22.848213200000000,45.000000000000000,275,275,0.000000878412175,0.003788720000102,0.000000153903002
37,4,36,37,52.000000000000000,25.010000000000002,0.004126616850280,0,255,255,2015-01-01_00:00:00,41.867870000000003,-87.627533000000000,268.072540000000000,254.842209000000000,33.848323999999998,100117.617188000000000,0,0,181.877350000000010,0,0,239.945038000000010,7.616955000000000,0,NA,41.86787 -87.627533;41.86787 -87.626404;41.868717 -87.627563;41.868725 -87.626404,-87.627533000000000,41.867870000000003,22.860572000000001,45.000000000000000,255,255,0.000000878399211,0.003788688000100,0.000000783682751
38,1,37,38,53.000000000000000,5.390000000000000,0.003353171816320,0,275,275,2015-01-01_00:00:00,41.868710000000000,-87.629822000000004,268.065674000000000,254.834533999999990,33.844329999999999,100103.218750000000000,0,0,181.916991999999990,0,0,240.499466000000010,7.714350000000000,0,NA,41.86871 -87.629822,-87.629822000000004,41.868710000000000,22.848213200000000,45.000000000000000,275,275,0.000000878412175,0.003788720000102,0.000000159924570
39,2,38,39,55.000000000000000,31.430000000000000,0.002377954691430,0,278,278,2015-01-01_00:00:00,41.868724999999998,-87.626403999999994,268.081787000000020,254.845305999999990,33.817619000000001,100123.484375000000000,0,0,181.870483000000010,0,0,239.842772999999990,7.580966000000000,0,NA,41.868725 -87.626404;41.869568 -87.626404,-87.626403999999994,41.868724999999998,22.877216600000100,45.000000000000000,278,278,0.000000878412175,0.003788720000102,0.000000352684892
40,6,39,40,56.000000000000000,36.979999999999997,0.007337683766760,0,257,257,2015-01-01_00:00:00,41.867877999999997,-87.625243999999995,268.081451000000020,254.848662999999990,33.836044000000001,100132.203125000000000,0,0,181.845108000000010,0,0,239.489655000000000,7.534613000000000,0,NA,41.867878 -87.625244;41.867886 -87.624115;41.868732 -87.625275;41.868736 -87.624146;41.869579 -87.625275;41.869583 -87.624146,-87.625243999999995,41.867877999999997,22.876611799999999,45.000000000000000,257,257,0.000000878399211,0.003788688000100,0.000001259513177
41,1,40,41,57.000000000000000,4.880000000000000,0.000314028508643,0,291,291,2015-01-01_00:00:00,41.869514000000002,-87.636688000000007,268.034576000000020,254.812332000000000,33.888804999999998,100063.718750000000000,0,0,182.013397000000000,0,0,241.978072999999990,8.031981999999999,0,NA,41.869514 -87.636688,-87.636688000000007,41.869514000000002,22.792236800000001,45.000000000000000,291,291,0.000000878421899,0.003788744000076,0.000000005939918
42,2,41,42,59.000000000000000,3.340000000000000,0.000476516554788,0,294,294,2015-01-01_00:00:00,41.869529999999997,-87.633240000000001,268.052765000000020,254.823517000000010,33.853729000000001,100083.398438000000000,0,0,181.966934000000010,0,0,241.279953000000010,7.877945000000000,0,NA,41.86953 -87.63324;41.869537 -87.632111,-87.633240000000001,41.869529999999997,22.824977000000001,45.000000000000000,294,294,0.000000878421899,0.003788743999962,0.000000014163921
43,2,42,43,61.000000000000000,11.490000000000000,0.001100140225950,0,269,269,2015-01-01_00:00:00,41.868670999999999,-87.636657999999997,268.030548000000010,254.812271000000010,33.908622999999999,100064.687500000000000,0,0,182.005096000000010,0,0,241.862930000000010,8.013590000000001,0,NA,41.868671 -87.636658;41.869514 -87.636688,-87.636657999999997,41.868670999999999,22.784986400000001,45.000000000000000,269,269,0.000000878410555,0.003788716000031,0.000000071993020
